Institute,Academic Program Name,Gender,Opening Rank,Closing Rank,Year,Round
IIT Bhuv,Civil Engineering,Gender-Neutral,3533,5947,2016,1
IIT Bhuv,Civil Engineering and M. Tech. in Structural Engineering (5),Gender-Neutral,5408,6561,2016,1
IIT Bhuv,Civil Engineering and M.Tech in Transportation Engineering (5),Gender-Neutral,6078,6579,2016,1
IIT Bhuv,Computer Science and Engineering,Gender-Neutral,1497,2665,2016,1
IIT Bhuv,Electrical Engineering,Gender-Neutral,2933,4241,2016,1
IIT Bhuv,Electronics and Communication Engineering,Gender-Neutral,2529,3994,2016,1
IIT Bhuv,Mechanical Engineering,Gender-Neutral,3372,4692,2016,1
IIT Bhuv,Mechanical Engineering and M. Tech. in Mechanical System Design (5),Gender-Neutral,4888,5457,2016,1
IIT Bhuv,Mechanical Engineering and M. Tech. in Thermal Science & Engineering (5),Gender-Neutral,5476,5680,2016,1
IIT Bhuv,Metallurgical and Materials Engineering,Gender-Neutral,5756,6872,2016,1
IITB,Aerospace Engineering,Gender-Neutral,838,1777,2016,1
IITB,Chemical Engineering,Gender-Neutral,422,1427,2016,1
IITB,Chemistry (B.Sc),Gender-Neutral,3323,4410,2016,1
IITB,Civil Engineering,Gender-Neutral,897,2155,2016,1
IITB,Computer Science and Engineering,Gender-Neutral,1,60,2016,1
IITB,Electrical Engineering,Gender-Neutral,22,224,2016,1
IITB,Electrical Engineering with M.Tech. in Communications and Signal Processing (5),Gender-Neutral,249,578,2016,1
IITB,Electrical Engineering with M.Tech. in Microelectronics (5),Gender-Neutral,228,485,2016,1
IITB,Energy Engineering with M.Tech. in Energy Systems Engineering (5),Gender-Neutral,1374,2250,2016,1
IITB,Engineering Physics,Gender-Neutral,6,884,2016,1
IITB,Engineering Physics and M.Tech. with specialization in Nano Science (5),Gender-Neutral,1013,1400,2016,1
IITB,Mechanical Engineering,Gender-Neutral,26,747,2016,1
IITB,Mechanical Engineering and M.Tech. in Computer Integrated Manufacturing (5),Gender-Neutral,583,892,2016,1
IITB,Metallurgical Engineering and Materials Science,Gender-Neutral,1657,2805,2016,1
IITB,Metallurgical Engineering and Materials Science with M.Tech. in Ceramics and Composites (5),Gender-Neutral,2809,3180,2016,1
IITB,Metallurgical Engineering and Materials Science with M.Tech. in Metallurgical Process Engineering (5),Gender-Neutral,2916,3201,2016,1
IIT Mandi,Civil Engineering,Gender-Neutral,5129,6029,2016,1
IIT Mandi,Computer Science and Engineering,Gender-Neutral,1630,2324,2016,1
IIT Mandi,Electrical Engineering,Gender-Neutral,3334,4373,2016,1
IIT Mandi,Mechanical Engineering,Gender-Neutral,4531,5035,2016,1
IITD,Biochemical Engineering and Biotechnology (5),Gender-Neutral,3787,4714,2016,1
IITD,Biotechnology and Biochemical Engineering,Gender-Neutral,2609,3706,2016,1
IITD,Chemical Engineering,Gender-Neutral,980,1587,2016,1
IITD,Chemical Engineering (5),Gender-Neutral,1482,2775,2016,1
IITD,Civil Engineering,Gender-Neutral,767,2494,2016,1
