Institute,Academic Program Name,Opening Rank,Closing Rank,Year,Round
IIT Bhuv,Civil Engineering,10078,10789,2018,1
IIT Bhuv,Civil Engineering and M. Tech. in Structural Engineering (5),10844,10844,2018,1
IIT Bhuv,Civil Engineering and M.Tech in Transportation Engineering (5),11727,11727,2018,1
IIT Bhuv,Civil Engineering and M.Tech. in Environmental Engineering (5),11349,11349,2018,1
IIT Bhuv,Computer Science and Engineering,2602,3442,2018,1
IIT Bhuv,Computer Science and Engineering (5),4352,4352,2018,1
IIT Bhuv,Electrical Engineering and M.Tech Power Electronics and Drives (5),7540,7540,2018,1
IIT Bhuv,Electrical Engineering,5689,6178,2018,1
IIT Bhuv,Electronics and Communication Engineering,3615,5492,2018,1
IIT Bhuv,Mechanical Engineering,8510,9039,2018,1
IIT Bhuv,Mechanical Engineering and M. Tech. in Mechanical System Design (5),10356,10356,2018,1
IIT Bhuv,Mechanical Engineering and M. Tech. in Thermal Science & Engineering (5),10671,10671,2018,1
IIT Bhuv,Mechanical Engineering with M.Tech. in Manufacturing Engineering (5),10519,10519,2018,1
IIT Bhuv,Metallurgical and Materials Engineering,11337,11713,2018,1
IIT Bhuv,Metallurgical and Materials Engineering and M.Tech. in Materials Science and Engineering (5),11996,11996,2018,1
IITB,Aerospace Engineering,1425,3605,2018,1
IITB,BS in Mathematics (B.Sc),2898,2898,2018,1
IITB,Chemical Engineering,1766,2878,2018,1
IITB,Chemistry (B.Sc),4731,8302,2018,1
IITB,Civil Engineering,2471,4675,2018,1
IITB,Computer Science and Engineering,6,173,2018,1
IITB,Economics (B.Sc),3145,3757,2018,1
IITB,Electrical Engineering,394,730,2018,1
IITB,Electrical Engineering with M.Tech. in Communications and Signal Processing (5),1349,1459,2018,1
IITB,Electrical Engineering with M.Tech. in Microelectronics (5),812,1332,2018,1
IITB,Energy Engineering with M.Tech. in Energy Systems Engineering (5),4389,5260,2018,1
IITB,Engineering Physics,900,1692,2018,1
IITB,Environmental Science and Engineering (5),6066,7050,2018,1
IITB,Mechanical Engineering,1399,1951,2018,1
IITB,Mechanical Engineering and M.Tech. in Computer Integrated Manufacturing (5),2174,2339,2018,1
IITB,Metallurgical Engineering and Materials Science,4435,6439,2018,1
IITB,Metallurgical Engineering and Materials Science with M.Tech. in Ceramics and Composites (5),6702,6702,2018,1
IITB,Metallurgical Engineering and Materials Science with M.Tech. in Metallurgical Process Engineering (5),6560,6701,2018,1
IIT Mandi,Civil Engineering,10692,11140,2018,1
IIT Mandi,Computer Science and Engineering,3776,4407,2018,1
IIT Mandi,Electrical Engineering,6201,7995,2018,1
IIT Mandi,Mechanical Engineering,9068,9337,2018,1
IITD,Biochemical Engineering and Biotechnology (5),7258,7258,2018,1
IITD,Biotechnology and Biochemical Engineering,5697,6722,2018,1
IITD,Chemical Engineering,1996,3277,2018,1
IITD,Chemical Engineering (5),3879,4789,2018,1
IITD,Civil Engineering,2883,5695,2018,1
IITD,Computer Science and Engineering,112,313,2018,1
IITD,Computer Science and Engineering (5),505,505,2018,1
IITD,Electrical Engineering,872,1166,2018,1
IITD,Electrical Engineering (Power and Automation),1295,1699,2018,1
IITD,Engineering Physics,3340,4204,2018,1
IITD,Mathematics and Computing,645,830,2018,1
IITD,Mathematics and Computing (5),1088,1132,2018,1
IITD,Mechanical Engineering,1788,2388,2018,1
IITD,Production and Industrial Engineering,3908,5999,2018,1
IITD,Textile Technology,6819,9071,2018,1
IITI,Civil Engineering,8868,9701,2018,1
IITI,Computer Science and Engineering,1485,2299,2018,1
IITI,Electrical Engineering,2359,5244,2018,1
IITI,Mechanical Engineering,8019,8781,2018,1
IITI,Metallurgical Engineering and Materials Science,10668,11691,2018,1
IITKgp,Aerospace Engineering,5315,5714,2018,1
IITKgp,Aerospace Engineering (5),2644,2644,2018,1
IITKgp,Agricultural and Food Engineering,7680,10113,2018,1
IITKgp,Agricultural and Food Engineering with M.Tech. in any of the listed specializations (5),10833,11362,2018,1
IITKgp,Applied Geology (5),10951,12301,2018,1
IITKgp,"Architecture (5, B.Arch)",7929,10693,2018,1
IITKgp,Biotechnology and Biochemical Engineering,7305,7349,2018,1
IITKgp,Biotechnology and Biochemical Engineering (5),8593,10309,2018,1
IITKgp,Chemical Engineering,2892,5536,2018,1
IITKgp,Chemical Engineering (5),6825,7237,2018,1
IITKgp,Chemistry (5),9753,11122,2018,1
IITKgp,Civil Engineering,1623,7154,2018,1
IITKgp,Civil Engineering with any of the listed specialization (5),8753,8974,2018,1
IITKgp,Computer Science and Engineering,438,508,2018,1
IITKgp,Computer Science and Engineering (5),643,995,2018,1
IITKgp,Economics (5),5499,7067,2018,1
IITKgp,Electrical Engineering,2184,2435,2018,1
IITKgp,Electrical Engineering with M.Tech. in any of the listed specializations (5),3088,3189,2018,1
IITKgp,Electronics and Electrical Communication Engineering,1550,1962,2018,1
IITKgp,Electronics and Electrical Communication Engineering with M.Tech. in any of the listed specializations (5),1772,2967,2018,1
IITKgp,Exploration Geophysics (5),10091,11872,2018,1
IITKgp,Industrial and Systems Engineering,6114,6300,2018,1
IITKgp,Industrial and Systems Engineering with M.Tech. in Industrial and Systems Engineering and Management (5),6937,7126,2018,1
IITKgp,Instrumentation Engineering,2755,4131,2018,1
IITKgp,Manufacturing Science and Engineering,7206,7523,2018,1
IITKgp,Manufacturing Science and Engineering with M.Tech. in Industrial and Systems Engineering and Management (5),8759,8759,2018,1
IITKgp,Mathematics and Computing (5),2347,2787,2018,1
IITKgp,Mechanical Engineering,2980,3795,2018,1
IITKgp,Mechanical Engineering with M.Tech. in any of the listed specializations (5),4616,5445,2018,1
IITKgp,Metallurgical and Materials Engineering,7767,8385,2018,1
IITKgp,Metallurgical and Materials Engineering (5),9335,9505,2018,1
IITKgp,Mining Engineering,10751,11971,2018,1
IITKgp,Mining Engineering (5),12633,12633,2018,1
IITKgp,Mining Safety Engineering (5),12229,12229,2018,1
IITKgp,Ocean Engineering and Naval Architecture,10137,10762,2018,1
IITKgp,Ocean Engineering and Naval Architecture (5),10915,11253,2018,1
IITKgp,Physics (5),9330,10114,2018,1
IITKgp,Quality Engineering Design and Manufacturing (5),9588,9588,2018,1
IITH,Chemical Engineering,7670,8427,2018,1
IITH,Civil Engineering,4115,7153,2018,1
IITH,Computer Science and Engineering,1247,1368,2018,1
IITH,Electrical Engineering,2930,3368,2018,1
IITH,Engineering Physics,6556,6695,2018,1
IITH,Engineering Science,2859,5065,2018,1
IITH,Materials Science and Metallurgical Engineering,9504,9918,2018,1
IITH,Mathematics and Computing,2121,2121,2018,1
IITH,Mechanical Engineering,4253,4592,2018,1
IIT Jodh,Bio Technology,11464,12593,2018,1
IIT Jodh,Computer Science and Engineering,3307,5236,2018,1
IIT Jodh,Electrical Engineering,6191,8165,2018,1
IIT Jodh,Mechanical Engineering,8907,9809,2018,1
IITK,Aerospace Engineering,4371,5373,2018,1
IITK,Biological Sciences and Bioengineering,5773,8136,2018,1
IITK,Chemical Engineering,3915,5403,2018,1
IITK,Chemistry (B.Sc),8304,9871,2018,1
IITK,Civil Engineering,6359,6887,2018,1
IITK,Computer Science and Engineering,427,576,2018,1
IITK,Earth Sciences (B.Sc),8682,11118,2018,1
IITK,Economics (B.Sc),4445,5115,2018,1
IITK,Electrical Engineering,1299,2001,2018,1
IITK,Materials Science and Engineering,6205,7724,2018,1
IITK,Mathematics and Scientific Computing (B.Sc),1420,1956,2018,1
IITK,Mechanical Engineering,2546,3768,2018,1
IITK,Physics (B.Sc),3141,7097,2018,1
IITM,Aerospace Engineering,3335,4847,2018,1
IITM,Aerospace Engineering (5),5938,5938,2018,1
IITM,Biological Engineering (5),2354,8566,2018,1
IITM,Biological Sciences (5),9540,11957,2018,1
IITM,Chemical Engineering,3297,4928,2018,1
IITM,Chemical Engineering (5),6090,6090,2018,1
IITM,Civil Engineering,6109,6867,2018,1
IITM,Civil Engineering (5),7686,8368,2018,1
IITM,Computer Science and Engineering,209,417,2018,1
IITM,Electrical Engineering,449,1143,2018,1
IITM,Electrical Engineering (5),1206,1759,2018,1
IITM,Engineering Design (5),3255,6037,2018,1
IITM,Engineering Physics,2007,4076,2018,1
IITM,Mechanical Engineering,1728,2819,2018,1
IITM,Mechanical Engineering (5),2871,4398,2018,1
IITM,Metallurgical and Materials Engineering,6760,7691,2018,1
IITM,Metallurgical and Materials Engineering (5),8766,8766,2018,1
IITM,Naval Architecture and Ocean Engineering,8856,9353,2018,1
IITM,Naval Architecture and Ocean Engineering (5),10428,10428,2018,1
IITM,Physics (5),5287,5287,2018,1
IIT Gnd,Chemical Engineering,7880,9467,2018,1
IIT Gnd,Civil Engineering,9498,9595,2018,1
IIT Gnd,Computer Science and Engineering,2074,3172,2018,1
IIT Gnd,Electrical Engineering,5213,5614,2018,1
IIT Gnd,Materials Science and Engineering,9810,10336,2018,1
IIT Gnd,Mechanical Engineering,7689,7840,2018,1
IIT Patna,Chemical Engineering,9568,11428,2018,1
IIT Patna,Civil Engineering,11340,12171,2018,1
IIT Patna,Computer Science and Engineering,2963,4631,2018,1
IIT Patna,Electrical Engineering,8196,8995,2018,1
IIT Patna,Mechanical Engineering,10064,10735,2018,1
IITR,Applied Mathematics (5),3159,3962,2018,1
IITR,"Architecture (5, B.Arch)",10503,11864,2018,1
IITR,Bio Technology,6460,8260,2018,1
IITR,Chemical Engineering,5569,6290,2018,1
IITR,Chemistry (5),10912,10981,2018,1
IITR,Civil Engineering,6373,7914,2018,1
IITR,Computer Science and Engineering,639,863,2018,1
IITR,Electrical Engineering,2876,3389,2018,1
IITR,Electronics and Communication Engineering,1196,2640,2018,1
IITR,Engineering Physics,4776,6708,2018,1
IITR,Geological Technology (5),10400,11276,2018,1
IITR,Geophysical Technology (5),8635,9926,2018,1
IITR,Mechanical Engineering,4056,4862,2018,1
IITR,Metallurgical and Materials Engineering,7935,9292,2018,1
IITR,Physics (5),10214,10754,2018,1
IITR,Polymer Science and Engineering,9429,10352,2018,1
IITR,Production and Industrial Engineering,7926,8413,2018,1
IIT (ISM) Dhanbad,Applied Geology (5),12618,13727,2018,1
IIT (ISM) Dhanbad,Applied Geophysics (5),13104,14083,2018,1
IIT (ISM) Dhanbad,Chemical Engineering,10574,10803,2018,1
IIT (ISM) Dhanbad,Civil Engineering,9487,11015,2018,1
IIT (ISM) Dhanbad,Computer Science and Engineering,2567,5298,2018,1
IIT (ISM) Dhanbad,Computer Science and Engineering (5),5439,5439,2018,1
IIT (ISM) Dhanbad,Electrical Engineering,7426,8492,2018,1
IIT (ISM) Dhanbad,Electronics and Communication Engineering,5456,7692,2018,1
IIT (ISM) Dhanbad,Electronics and Instrumentation Engineering,8048,8553,2018,1
IIT (ISM) Dhanbad,Engineering Physics,8226,8832,2018,1
IIT (ISM) Dhanbad,Environmental Engineering,10074,12506,2018,1
IIT (ISM) Dhanbad,Mathematics and Computing (5),5635,6980,2018,1
IIT (ISM) Dhanbad,Mechanical Engineering,7179,10157,2018,1
IIT (ISM) Dhanbad,Mineral Engineering,12977,14125,2018,1
IIT (ISM) Dhanbad,Mining Engineering,12204,14111,2018,1
IIT (ISM) Dhanbad,Mining Machinery Engineering,13761,14593,2018,1
IIT (ISM) Dhanbad,Petroleum Engineering,10895,12755,2018,1
IIT Ropar,Chemical Engineering,10099,10590,2018,1
IIT Ropar,Civil Engineering,10125,11170,2018,1
IIT Ropar,Computer Science and Engineering,2948,3766,2018,1
IIT Ropar,Electrical Engineering,5826,7108,2018,1
IIT Ropar,Mechanical Engineering,7999,9676,2018,1
IIT Ropar,Mechanical Engineering (5),10453,10453,2018,1
IIT Ropar,Metallurgical and Materials Engineering,12502,12502,2018,1
IIT BHU,Biochemical Engineering with M.Tech. in Biochemical Engineering and Biotechnology (5),12015,12275,2018,1
